,User-ID,ISBN,Book-Rating
429,276925,0385504209,8
648,276953,0446310786,10
691,276964,0440220602,9
812,277042,0971880107,2
884,277124,0440241073,9
1140,277195,0671021001,10
1261,277212,044023722X,8
1291,277246,0452282152,10
1298,277261,0440241073,7
1336,277315,0060976845,5
1357,277358,0679781587,10
1362,277363,0156027321,8
1388,277378,0312195516,7
1584,277427,0385504209,8
1965,277439,0316666343,7
1973,277439,0671027360,7
1982,277462,0312195516,10
2247,277517,0452282152,8
2296,277535,0316601950,9
2377,277598,0375707972,8
2411,277629,0440241073,8
2537,277639,0440211727,8
2540,277639,0440214041,9
2759,277698,0316769487,6
2827,277743,0446310786,9
2857,277752,0316666343,7
2860,277756,0385484518,7
2887,277798,0385484518,8
2892,277803,0142001740,8
2893,277807,0345443284,5
2939,277873,0679781587,10
2990,277901,0446672211,7
2992,277901,0452282152,8
3004,277903,0440226430,8
3025,277922,0440225701,6
3142,277938,0446672211,9
3185,277958,0142001740,9
3186,277959,0156027321,8
3225,277965,0385484518,10
3244,277965,0679781587,9
3314,277997,067976402X,8
3337,278007,0316601950,6
3502,278075,0452282152,8
3526,278107,0446605239,8
3541,278122,0375727345,10
3564,278137,0345337662,7
3610,278137,0446606812,7
3647,278137,0804106304,8
3775,278162,059035342X,10
3782,278176,0971880107,9
3863,278188,0440225701,9
4073,278220,0671003755,8
4098,278221,0804106304,9
4124,278243,0156027321,8
4143,278254,0671027360,8
4199,278325,0440214041,7
4203,278333,0440225701,10
4235,278350,0312195516,9
4309,278390,0671027360,7
8866,278422,0671027360,6
9003,278535,0446610038,10
9031,278541,0142001740,9
9034,278543,0446605239,5
9056,278552,0671021001,7
9170,278582,1400034779,10
9176,278586,0446606812,5
9205,278633,0316666343,9
9222,278633,0440226430,9
9307,278653,0446606812,6
9351,278698,0440241073,10
9426,278798,0316284955,7
9489,278843,059035342X,8
9521,278844,0679781587,7
9607,26,0446310786,10
9624,51,0440225701,9
9666,91,0316769487,9
9695,114,0671027360,10
9724,165,0060976845,9
9962,243,0316601950,9
10001,243,044023722X,7
10084,254,0142001740,9
10290,254,0671021001,7
10305,254,0679781587,8
10365,256,044023722X,8
10378,280,0316769487,7
10484,388,0060976845,3
10485,388,006101351X,6
10614,424,0671021001,6
10673,453,0312278586,6
10702,486,0060976845,8
10803,507,0142001740,10
10970,595,0140293248,9
10972,595,0446672211,10
11078,638,0316666343,10
11081,638,0316769487,10
11096,638,0385504209,10
11316,709,0316666343,3
11517,763,0679781587,8
11551,805,0060928336,7
11561,805,0156027321,9
11575,805,0452282152,8
11580,805,0671003755,8
11752,882,0385504209,10
11820,882,067976402X,10
11821,882,0679781587,10
11844,885,0804106304,5
11850,899,0971880107,2
