,User-ID,Location,Age,profession,ville
25,26,"lyon, rhone, france",34.0,commerce,lyon
50,51,"villeneuve d`ascq, nord, france",34.0,commerce,villeneuve d`ascq
90,91,"lille, nord of france, france",34.0,commerce,lille
113,114,"versailles, ile de france, france",57.0,commerce,versailles
164,165,"paris, paris, france",62.0,commerce,paris
242,243,"ormesson, ile de france, france",34.0,commerce,ormesson
253,254,"paris, n/a, france",24.0,commerce,paris
255,256,"issy les moulineaux, ile de france, france",34.0,commerce,issy les moulineaux
279,280,"marseille, provence, france",34.0,commerce,marseille
387,388,"paris, n/a, france",35.0,commerce,paris
423,424,"grenoble, rhone-alpes, france",29.0,commerce,grenoble
452,453,"paris, n/a, france",34.0,commerce,paris
485,486,"poitiers, vienne, france",31.0,commerce,poitiers
506,507,"grenoble, isere, france",34.0,commerce,grenoble
594,595,"le houlme, normandie, france",17.0,commerce,le houlme
637,638,"lille, nord, france",20.0,commerce,lille
708,709,"champs sur marne, île de france, france",14.0,commerce,champs sur marne
762,763,"paris, n/a, france",34.0,commerce,paris
804,805,"nîmes, languedoc-roussillon, france",34.0,commerce,nîmes
881,882,"nantes, loire-atlantique, france",23.0,commerce,nantes
884,885,"rennes, bretagne, france",34.0,commerce,rennes
898,899,"marseille, n/a, france",23.0,commerce,marseille
899,900,"paris, n/a, france",25.0,commerce,paris
914,915,"paris, ile de france, france",50.0,commerce,paris
935,936,"mont-saint-aignan, normandie, france",24.0,commerce,mont-saint-aignan
1007,1008,"annemasse, alabama, france",34.0,commerce,annemasse
1020,1021,"toulouse, haute-garonne, france",34.0,commerce,toulouse
1024,1025,"paris, paris, france",33.0,commerce,paris
1030,1031,"strasbourg, alsace, france",52.0,commerce,strasbourg
1031,1032,"paris, paris, france",34.0,commerce,paris
1053,1054,"rennes, bretagne, france",37.0,commerce,rennes
1074,1075,"paris, ile de france, france",49.0,commerce,paris
1130,1131,"paris, île de france, france",22.0,commerce,paris
1210,1211,"beziers, herault, france",22.0,commerce,beziers
1248,1249,"paris, ile-de-france, france",34.0,commerce,paris
1253,1254,"corenc, rhone-alpes, france",26.0,commerce,corenc
1260,1261,"paris, n/a, france",46.0,commerce,paris
1263,1264,"nice, alpes maritimes, france",34.0,commerce,nice
1375,1376,"montpellier, illinois, france",34.0,commerce,montpellier
1411,1412,"paris, paris, france",47.0,commerce,paris
1423,1424,"boulogne, ile de france, france",34.0,commerce,boulogne
1432,1433,"paris, ile de france, france",54.0,commerce,paris
1434,1435,"lyon, rhône-alpes, france",36.0,commerce,lyon
1435,1436,"avignon, vaucluse, france",34.0,commerce,avignon
1485,1486,"marseille, provence, france",75.0,commerce,marseille
1503,1504,"toulon, var, france",34.0,commerce,toulon
1529,1530,"le mesnil saint denis, yvelines, france",26.0,commerce,le mesnil saint denis
1534,1535,"levallois-perret, ile-de-france, france",69.0,commerce,levallois-perret
1547,1548,"rouen, normandie, france",28.0,commerce,rouen
1618,1619,"montbéliard, franche-comté, france",34.0,commerce,montbéliard
1649,1650,"paris, ile de france, france",34.0,commerce,paris
1651,1652,"strasbourg, n/a, france",34.0,commerce,strasbourg
1717,1718,"paris, ile de france, france",28.0,commerce,paris
1732,1733,"paris, ile de france, france",30.0,commerce,paris
1767,1768,"paris, ile-de-france, france",25.0,commerce,paris
1772,1773,"herouville-saint-clair, normandie, france",16.0,commerce,herouville-saint-clair
1789,1790,"parmain, ile-de-france, france",25.0,commerce,parmain
1802,1803,"saint-mande, n/a, france",48.0,commerce,saint-mande
1804,1805,"tours, indre et loire, france",34.0,commerce,tours
1847,1848,"lacres, nord-pas de calis, france",22.0,commerce,lacres
1897,1898,"kurtzenhouse, bas-rhin, france",47.0,commerce,kurtzenhouse
1927,1928,"strasbourg, alsace, france",17.0,commerce,strasbourg
1932,1933,"lyon, n/a, france",34.0,commerce,lyon
2011,2012,"montpellier, n/a, france",34.0,commerce,montpellier
2018,2019,"lyon, rhone alpes, france",29.0,commerce,lyon
2032,2033,"paris, ile-de-france, france",27.0,commerce,paris
2088,2089,"saint-cloud, ile de france, france",34.0,commerce,saint-cloud
2109,2110,"strasbourg, alsace, france",34.0,commerce,strasbourg
2126,2127,"nice, paca, france",34.0,commerce,nice
2178,2179,"paris, n/a, france",30.0,commerce,paris
2182,2183,"lyon, rhône, france",34.0,commerce,lyon
2196,2197,"paris, ile de france (paris), france",26.0,commerce,paris
2203,2204,"paris, ile de france, france",34.0,commerce,paris
2275,2276,"morlaix, bretagne, france",46.0,commerce,morlaix
2332,2333,"pau, pyrénées atlantiques, france",34.0,commerce,pau
2336,2337,"paris, ile de france, france",34.0,commerce,paris
2374,2375,"savigné l`évèque, pays de la loire, france",20.0,commerce,savigné l`évèque
2387,2388,"lyon, rhone, france",64.0,commerce,lyon
2398,2399,"lyon, rhône-alpes, france",32.0,commerce,lyon
2410,2411,"brest, bretagne, france",37.0,commerce,brest
2502,2503,"lyon, \n/a\"", france""",36.0,commerce,lyon
2558,2559,"paris, ile-de-france, france",34.0,commerce,paris
2765,2766,"neuilly/seine, n /a, france",42.0,commerce,neuilly/seine
2853,2854,"espagnac ste eulalie, lot, france",36.0,commerce,espagnac ste eulalie
2890,2891,"perigny, poitou-charentes, france",34.0,commerce,perigny
2906,2907,"paris, n/a, france",34.0,commerce,paris
2976,2977,"paris, n/a, france",25.0,commerce,paris
2994,2995,"toulouse, n/a, france",61.0,commerce,toulouse
2995,2996,"limoges, limousin, france",21.0,commerce,limoges
3004,3005,"paris, ile de france, france",34.0,commerce,paris
3025,3026,"paris, 9eme arrond., france",34.0,commerce,paris
3031,3032,"angoulême, charente, france",40.0,commerce,angoulême
3078,3079,"paris, paris, france",34.0,commerce,paris
3098,3099,"saint-etienne, no province, france",34.0,commerce,saint-etienne
3099,3100,"sainte genevieve des bois, ile de france, france",42.0,commerce,sainte genevieve des bois
3144,3145,"rennes, bretagne, france",34.0,commerce,rennes
3166,3167,"paris, n/a, france",42.0,commerce,paris
3205,3206,"poitiers, poitou, france",23.0,commerce,poitiers
3260,3261,"vaucresson, paris, france",42.0,commerce,vaucresson
3328,3329,"paris, france, france",34.0,commerce,paris
3343,3344,"rennes, ille et vilaine, france",61.0,commerce,rennes
3345,3346,"chagnon, n/a, france",20.0,commerce,chagnon
3349,3350,"boulogne sur mer, england, france",23.0,commerce,boulogne sur mer
3362,3363,"paris, ile de france, france",29.0,commerce,paris
3370,3371,"lyon, rhône, france",25.0,commerce,lyon
3372,3373,"paris, paris, france",30.0,commerce,paris
3417,3418,"schiltigheim, france, alsace, bas rhin, france",14.0,commerce,schiltigheim
3459,3460,"paris, france, france",32.0,commerce,paris
3533,3534,"mortagne sur sevre, pays de loire, france",34.0,commerce,mortagne sur sevre
3541,3542,"paris, ile de france, france",34.0,commerce,paris
3555,3556,"rennes, bretagne, france",68.0,commerce,rennes
3568,3569,"la seyne sur mer, n/a, france",34.0,commerce,la seyne sur mer
3579,3580,"paris, n/a, france",44.0,commerce,paris
3592,3593,"lyon, n/a, la france",34.0,commerce,lyon
3600,3601,"clichy, n/a, france",33.0,commerce,clichy
3639,3640,"rennes, bretagne, france",34.0,commerce,rennes
3668,3669,"marseille, paca, france",34.0,commerce,marseille
3708,3709,"paris, n/a, france",30.0,commerce,paris
3738,3739,"chateaudun, centre, france",34.0,commerce,chateaudun
3816,3817,"boursin, , france",29.0,commerce,boursin
3820,3821,"lyon, rhône, france",36.0,commerce,lyon
3826,3827,"paris, ile de france, france",23.0,commerce,paris
3893,3894,"lille, nord, france",34.0,commerce,lille
3998,3999,"lyon, rhone alpes, france",71.0,commerce,lyon
4016,4017,"strasbourg, n/a, france",48.0,commerce,strasbourg
4058,4059,"hillion, bretagne, france",34.0,commerce,hillion
4065,4066,"paris-madrid, paris-madrid, france",31.0,commerce,paris-madrid
4089,4090,"lyon, n/a, france",34.0,commerce,lyon
4091,4092,"paris, paris, france",27.0,commerce,paris
4097,4098,"paris, ile-de-france, france",30.0,commerce,paris
4130,4131,"nantes, loire atlantique, france",51.0,commerce,nantes
4143,4144,"leers, , la france",31.0,commerce,leers
4156,4157,"rennes, bretagne, france",39.0,commerce,rennes
4168,4169,"paris, new york, france",57.0,commerce,paris
4178,4179,"metz, lorraine, france",18.0,commerce,metz
4182,4183,"paris, ile-de-france, france",57.0,commerce,paris
4192,4193,"paris, n/a, france",34.0,commerce,paris
4224,4225,"paros, n/a, france",33.0,commerce,paros
4384,4385,"rueil-malmaison, n/a, france",33.0,commerce,rueil-malmaison
4569,4570,"strasbourg, yukon territory, france",40.0,commerce,strasbourg
4570,4571,"corbeil essonnes, ile de france, france",23.0,commerce,corbeil essonnes
4578,4579,"moye, haute savoie, france",34.0,commerce,moye
4668,4669,"paris, alabama, france",34.0,commerce,paris
4731,4732,"paris, n/a, france",34.0,commerce,paris
4783,4784,"paris, ile de france, france",21.0,commerce,paris
4784,4785,"st georges sur cher, loir-et-cher, france",30.0,commerce,st georges sur cher
4794,4795,"paris, n/a, france",18.0,commerce,paris
4801,4802,"toulouse, midi-pyrenées, france",28.0,commerce,toulouse
4820,4821,"paris, n/a, france",44.0,commerce,paris
4937,4938,"paris, n/a, la france",30.0,commerce,paris
4972,4973,"brest, bretagne, france",29.0,commerce,brest
4998,4999,"la rochelle, poitou-charente, france",54.0,commerce,la rochelle
5002,5003,"erstein, alsace, france",34.0,commerce,erstein
5036,5037,"paris, n, france",26.0,commerce,paris
5048,5049,"aubagne, n/a, france",32.0,commerce,aubagne
5125,5126,"dreux, centre, france",53.0,commerce,dreux
5206,5207,"lille, n/a, france",34.0,commerce,lille
5332,5333,"sevrier, haute-savoie, france",49.0,commerce,sevrier
5384,5385,"nice, paca, france",30.0,commerce,nice
5438,5439,"paris, ile de france, france",66.0,commerce,paris
5475,5476,"paris, ile de france, france",34.0,commerce,paris
5489,5490,"saint maur des fossés, ile de france, france",33.0,commerce,saint maur des fossés
5538,5539,"issy les moulineaux, paris, france",32.0,commerce,issy les moulineaux
5558,5559,"issy les moulineaux, pennsylvania, france",37.0,commerce,issy les moulineaux
5581,5582,"sergy (france), n/a, france",26.0,commerce,sergy (france)
5603,5604,"amiens, picardie, france",48.0,commerce,amiens
5637,5638,"perpignan, n/a, france",34.0,commerce,perpignan
5721,5722,"lyon, rhône-alpes, france",23.0,commerce,lyon
5781,5782,"paris, ile de france, france",62.0,commerce,paris
5849,5850,"chambéry, n/a, france",34.0,commerce,chambéry
5865,5866,"montmorot, berlin, france",34.0,commerce,montmorot
5931,5932,"lathuile, n/a, france",34.0,commerce,lathuile
6014,6015,"strasbourg, alsace, france",34.0,commerce,strasbourg
6072,6073,"paris, , france",28.0,commerce,paris
6073,6074,"st antonin noble val, tarn et garonne, france",30.0,commerce,st antonin noble val
6237,6238,"sevres, colorado, france",38.0,commerce,sevres
6241,6242,"lyon, rhone-alpes, france",34.0,commerce,lyon
6250,6251,"montaigut en combraille, n/a, france",32.0,commerce,montaigut en combraille
6322,6323,"saint martin d`ardeche, ardeche, france",35.0,commerce,saint martin d`ardeche
6346,6347,"toulouse, midi pyrénées, france",19.0,commerce,toulouse
6347,6348,"blagnac, 31700, france",34.0,commerce,blagnac
6348,6349,"tours, touraine, france",66.0,commerce,tours
6391,6392,"strasbourg, alsace, france",34.0,commerce,strasbourg
6430,6431,"montpellier, france, france",30.0,commerce,montpellier
6500,6501,"amiens, picardie, france",25.0,commerce,amiens
6534,6535,"lyon, n/a, france",26.0,commerce,lyon
6536,6537,"paris, ile-de-france, france",28.0,commerce,paris
6542,6543,"paris, ile-de-france, france",34.0,commerce,paris
6562,6563,"levignac de guyenne, lot et garonne, france",31.0,commerce,levignac de guyenne
6565,6566,"paris, ile de france, france",34.0,commerce,paris
6574,6575,"paris, paris, france",34.0,commerce,paris
6576,6577,"paris, paris, france",62.0,commerce,paris
6591,6592,"crozon, bretagne, france",37.0,commerce,crozon
6636,6637,"nice, n/a, france",30.0,commerce,nice
6669,6670,"avignon, provence, france",54.0,commerce,avignon
6678,6679,"clichy, hauts-de-seine, france",34.0,commerce,clichy
6703,6704,"trégunc, bretagne, france",32.0,commerce,trégunc
6763,6764,"paris, ile de france, france",34.0,commerce,paris
6771,6772,"nantes, loire atlantique, france",34.0,commerce,nantes
6777,6778,"paris, ile de france, france",34.0,commerce,paris
6788,6789,"nancy, victoria, france",34.0,commerce,nancy
6814,6815,"montreuil, ile-de-france, france",24.0,commerce,montreuil
6865,6866,"orsay, ile-de-france, france",51.0,commerce,orsay
6870,6871,"rioz, franche-comte, france",28.0,commerce,rioz
6899,6900,"paris, ile de france, france",25.0,commerce,paris
6990,6991,"paris, ile de france, france",34.0,commerce,paris
7032,7033,"paris, provence, france",29.0,commerce,paris
7071,7072,"paris, paris, france",11.0,commerce,paris
7104,7105,"bordeaux, gironde, france",34.0,commerce,bordeaux
7106,7107,"paris, , france",34.0,commerce,paris
7118,7119,"paris, paris, france",66.0,commerce,paris
7124,7125,"roquemaure, languedoc roussillon, france",28.0,commerce,roquemaure
7133,7134,"bordeaux, aquitaine, france",23.0,commerce,bordeaux
7157,7158,"bordeaux, gironde, france",30.0,commerce,bordeaux
7159,7160,"la ciotat, provence alpes cote d`azur, france",24.0,commerce,la ciotat
7227,7228,"marseille, emilia romagna, france",34.0,commerce,marseille
7247,7248,"paris, ile de france, france",22.0,commerce,paris
7282,7283,"lille, nord, france",30.0,commerce,lille
7300,7301,"lambersart, nord, france",25.0,commerce,lambersart
7305,7306,"rochefort, charentes maritimes, france",29.0,commerce,rochefort
7345,7346,"paris, ils-de-france, france",49.0,commerce,paris
7351,7352,"hendaye, france, france",53.0,commerce,hendaye
7408,7409,"paris, n/a, france",34.0,commerce,paris
7423,7424,"rennes, bretagne, france",32.0,commerce,rennes
7481,7482,"lyon, rhone-alpes, france",49.0,commerce,lyon
7619,7620,"paris, n/a, france",21.0,commerce,paris
7650,7651,"paris, alabama, france",21.0,commerce,paris
7808,7809,"lille, nord, france",34.0,commerce,lille
7819,7820,"rennes, bretagne, france",20.0,commerce,rennes
7840,7841,"paris, ile de france, france",34.0,commerce,paris
7855,7856,"paris, australian capital territory, france",34.0,commerce,paris
7859,7860,"mandelieu, paca, france",34.0,commerce,mandelieu
7863,7864,"tours, indre et loire, france",17.0,commerce,tours
7873,7874,"mouvaux, yukon territory, france",25.0,commerce,mouvaux
7914,7915,"lyon, rhone, france",34.0,commerce,lyon
7957,7958,"lambesc, bouches du rhone, france",27.0,commerce,lambesc
8005,8006,"paris, ile de france, france",34.0,commerce,paris
8018,8019,"paris, n/a, france",34.0,commerce,paris
8065,8066,"lyon, rhone alpes, france",34.0,commerce,lyon
8066,8067,"cambon, midi-pyrénnées, france",26.0,commerce,cambon
8085,8086,"paris, ile de france, france",34.0,commerce,paris
8088,8089,"strasbourg, rheinland-pfalz, france",34.0,commerce,strasbourg
8114,8115,"clermont ferrand, auvergne, france",34.0,commerce,clermont ferrand
8153,8154,"seremange-erzange, n/a, france",36.0,commerce,seremange-erzange
8219,8220,"pontault-combault, seine et marne, france",34.0,commerce,pontault-combault
8233,8234,"l, england, france",44.0,commerce,l
8244,8245,"paris, paris, france",31.0,commerce,paris
8252,8253,"paris, n/a, france",26.0,commerce,paris
8254,8255,"berck sur mer, bayern, france",47.0,commerce,berck sur mer
8267,8268,"garches, n/a, france",35.0,commerce,garches
8289,8290,"cannes, provence alpes cote d`azur, france",34.0,commerce,cannes
8308,8309,"dijon, bourgogne, france",44.0,commerce,dijon
8360,8361,"boulogne billancourt, haut de seine, france",23.0,commerce,boulogne billancourt
8452,8453,"strasbourg, baden-wuerttemberg, france",47.0,commerce,strasbourg
8453,8454,"paris, ile de france, france",34.0,commerce,paris
8486,8487,"paris, paris, france",30.0,commerce,paris
8528,8529,"lille, nord, france",34.0,commerce,lille
8579,8580,"lille, nord pas de calais, france",19.0,commerce,lille
8612,8613,"paris, n/a, france",69.0,commerce,paris
8629,8630,"besancon, franche comte, france",45.0,commerce,besancon
8651,8652,"thorigné-fouillard, emilia romagna, france",16.0,commerce,thorigné-fouillard
8673,8674,"paris, france, france",29.0,commerce,paris
8680,8681,"vaucluse, n/a, france",34.0,commerce,vaucluse
8681,8682,"chatenoy, loiret, france",34.0,commerce,chatenoy
8733,8734,"paris, idf, france",34.0,commerce,paris
8781,8782,"villabe, ohio, france",239.0,commerce,villabe
8800,8801,"paris, n/a, france",24.0,commerce,paris
8839,8840,"pau, n/a, france",34.0,commerce,pau
8852,8853,"rennes, bretagne, france",22.0,commerce,rennes
8855,8856,"nancy, lorraine, france",31.0,commerce,nancy
8863,8864,"villeurbanne, rhone alpes, france",26.0,commerce,villeurbanne
8869,8870,"bezons, \n/a\"", france""",45.0,commerce,bezons
8960,8961,"bordeaux, aquitaine, france",28.0,commerce,bordeaux
9082,9083,"lille, nord-pas de calais, france",34.0,commerce,lille
9177,9178,"paris, ile de france, france",34.0,commerce,paris
9202,9203,"fort frances, ontario, canada",69.0,commerce,fort frances
9225,9226,"paris, alabama, france",27.0,commerce,paris
9226,9227,"rennes, bretagne, france",24.0,commerce,rennes
9342,9343,"valenciennes, n/a, france",34.0,commerce,valenciennes
9353,9354,"rouffiac tolosan, haute-garonne, france",30.0,commerce,rouffiac tolosan
9388,9389,"paris, cambronne, france",25.0,commerce,paris
9413,9414,"paris, ille de france, france",37.0,commerce,paris
9416,9417,"foix, ariège, france",26.0,commerce,foix
9418,9419,"paris, ile de france, france",34.0,commerce,paris
9453,9454,"nîmes, , france",34.0,commerce,nîmes
9483,9484,"hussigny, meurthe et moselle, france",34.0,commerce,hussigny
9485,9486,"montpellier, languedoc-roussillon, france",46.0,commerce,montpellier
9489,9490,"parcieux, n/a, france",13.0,commerce,parcieux
9491,9492,"vire, normandy, france",19.0,commerce,vire
9567,9568,"montreuil aux lions, france, la france",44.0,commerce,montreuil aux lions
9636,9637,"montreuil aux lions, france, la france",34.0,commerce,montreuil aux lions
9746,9747,"montesson, veneto, france",34.0,commerce,montesson
9855,9856,"toulouse, toulouse, france",22.0,commerce,toulouse
9907,9908,"paris, n/a, france",36.0,commerce,paris
10089,10090,"parisq, international, france",26.0,commerce,parisq
10111,10112,"metz, france, france",26.0,commerce,metz
10117,10118,"metz, lorraine, france",44.0,commerce,metz
10133,10134,"paris, ile de france, france",19.0,commerce,paris
10161,10162,"le havre, normandy, france",34.0,commerce,le havre
10198,10199,"chambery, england, france",17.0,commerce,chambery
10214,10215,"talence, n/a, france",34.0,commerce,talence
10272,10273,"paris, ile-de-france, france",34.0,commerce,paris
10313,10314,"la chapelle saint mesmin, loiret, france",34.0,commerce,la chapelle saint mesmin
10440,10441,"le havre, georgia, france",34.0,commerce,le havre
10446,10447,"clermont ferrand, auvergne, france",34.0,commerce,clermont ferrand
10469,10470,"paris, , france",34.0,commerce,paris
10493,10494,"paris, paris, france",25.0,commerce,paris
10559,10560,"paris, ile de france, france",27.0,commerce,paris
10569,10570,"st. lô, normandy, france",34.0,commerce,st. lô
10606,10607,"la rochelle, poitou-charentes, france",60.0,commerce,la rochelle
10618,10619,"paris, paris, france",33.0,commerce,paris
10696,10697,"le mans, n/a, france",20.0,commerce,le mans
10920,10921,"paris, n/a, france",65.0,commerce,paris
10948,10949,"brest, bretagne, france",34.0,commerce,brest
10958,10959,"paris, ile de france, france",57.0,commerce,paris
11069,11070,"margny les compiègne, picardie, france",34.0,commerce,margny les compiègne
11154,11155,"paris, paris, france",27.0,commerce,paris
11168,11169,"grasse, alabama, france",27.0,commerce,grasse
11186,11187,"bordeaux, newfoundland, france",60.0,commerce,bordeaux
11223,11224,"paris, centre, france",51.0,commerce,paris
11244,11245,"grenoble, isère, france",34.0,commerce,grenoble
11282,11283,"saint-puy, gers, france",34.0,commerce,saint-puy
11361,11362,"bordeaux, aquitaine, france",34.0,commerce,bordeaux
11399,11400,"lyon, rhone, france",49.0,commerce,lyon
11473,11474,"lille, nord, france",34.0,commerce,lille
11488,11489,"bruz, bretagne, france",28.0,commerce,bruz
11506,11507,"nice, maritime alps, france",34.0,commerce,nice
11516,11517,"albert, north of france, france",57.0,commerce,albert
11553,11554,"paris, n, france",35.0,commerce,paris
11566,11567,"st sulpice, haute garonne, france",34.0,commerce,st sulpice
11590,11591,"selestat, alsace, france",34.0,commerce,selestat
11593,11594,"paris, paris, france",63.0,commerce,paris
11600,11601,"troyes, florida, france",34.0,commerce,troyes
11608,11609,"paris, ile de france, france",34.0,commerce,paris
11656,11657,"paris - sydney, new south wales, france",25.0,commerce,paris - sydney
11675,11676,"paris, ile de france, france",34.0,commerce,paris
11686,11687,"lille, nord, france",47.0,commerce,lille
11707,11708,"grenoble, isère, france",34.0,commerce,grenoble
11713,11714,"lyon, n, france",34.0,commerce,lyon
11717,11718,"plouhinec, bretagne, france",34.0,commerce,plouhinec
11723,11724,"paris, ile-de-france, france",42.0,commerce,paris
11767,11768,"rennes, bretagne, france",14.0,commerce,rennes
11787,11788,"bélus, landes, france",30.0,commerce,bélus
11915,11916,"valbonne, alpes maritimes, france",34.0,commerce,valbonne
11943,11944,"paris, paris, france",21.0,commerce,paris
11992,11993,"rouen, 76000, france",37.0,commerce,rouen
12099,12100,"paris, georgia, france",26.0,commerce,paris
12153,12154,"saint-doulchard, berry, france",41.0,commerce,saint-doulchard
12193,12194,"limoges, limousin, france",34.0,commerce,limoges
12208,12209,"carvin, \n/a\"", france""",18.0,commerce,carvin
12219,12220,"nantes, pays de la loire, france",46.0,commerce,nantes
12263,12264,"paris, île de france, france",39.0,commerce,paris
12271,12272,"belfort, n/a, france",18.0,commerce,belfort
12284,12285,"besançon, n/a, france",38.0,commerce,besançon
12292,12293,"boulong billancourt, ile de france, france",42.0,commerce,boulong billancourt
12315,12316,"saint germain en laye, île de france, france",34.0,commerce,saint germain en laye
12318,12319,"zillisheim, alsace, france",34.0,commerce,zillisheim
12332,12333,"limoges, haute-vienne, france",18.0,commerce,limoges
12537,12538,"saint louis, haut rhin, france",18.0,commerce,saint louis
12564,12565,"perpignan, languedoc-roussillon, france",34.0,commerce,perpignan
12566,12567,"nice, n/a, france",34.0,commerce,nice
12568,12569,"breuillet, ile de france, france",22.0,commerce,breuillet
12577,12578,"paris, n/a, france",26.0,commerce,paris
12585,12586,"clermont-ferrand, n/a, france",20.0,commerce,clermont-ferrand
12618,12619,"dijon, france, france",56.0,commerce,dijon
12684,12685,"st germain en laye, lazio, france",34.0,commerce,st germain en laye
12686,12687,"paris, n/a, france",43.0,commerce,paris
12697,12698,"nice, alpes maritimes, france",32.0,commerce,nice
12701,12702,"paris, paris, france",31.0,commerce,paris
12706,12707,"lille, nord-pas-de-calais, france",37.0,commerce,lille
12774,12775,"gif-sur-yvette, ile de france, france",34.0,commerce,gif-sur-yvette
12810,12811,"nantes, loire atlantique, france",34.0,commerce,nantes
12823,12824,"lyon, rhône alpes, france",18.0,commerce,lyon
12916,12917,"92400, , france",24.0,commerce,92400
12922,12923,"city, n/a, france",39.0,commerce,city
12929,12930,"paris, n/a, france",34.0,commerce,paris
12965,12966,"paris, paris, france",28.0,commerce,paris
12970,12971,"chambery, savoie, france",23.0,commerce,chambery
12976,12977,"médan, ile de france, france",16.0,commerce,médan
12981,12982,"toulouse, midi-pyrénées, france",41.0,commerce,toulouse
13047,13048,"strasbourg, alsace, france",34.0,commerce,strasbourg
13070,13071,"beaulieu sousparthenay, n/a, france",47.0,commerce,beaulieu sousparthenay
13087,13088,"paris, n/a, france",14.0,commerce,paris
13092,13093,"clamart, california, france",29.0,commerce,clamart
13120,13121,"paris, paris, france",34.0,commerce,paris
13132,13133,"lyon, rhone-alpes, france",34.0,commerce,lyon
13167,13168,"lyon, rhone-alpes, france",60.0,commerce,lyon
13172,13173,"aosta, victoria, france",55.0,commerce,aosta
13220,13221,"metz, lorraine, france",45.0,commerce,metz
13272,13273,"bievres, essonne, france",201.0,commerce,bievres
13278,13279,"mulhouse, alsace, france",34.0,commerce,mulhouse
13330,13331,"liancourt, oise, france",58.0,commerce,liancourt
13386,13387,"paris, ile de france, france",34.0,commerce,paris
13478,13479,"paris, paris, france",31.0,commerce,paris
13502,13503,"toulouse, midi pyrenees, france",31.0,commerce,toulouse
13517,13518,"malakoff, hauts-de-seine, france",27.0,commerce,malakoff
13551,13552,"berck sur mer, pas de calais, france",32.0,commerce,berck sur mer
13581,13582,"saint gereon, loire atlantique, france",29.0,commerce,saint gereon
13708,13709,"cassel, nord, france",34.0,commerce,cassel
13725,13726,"palaiseau, ile de france, france",44.0,commerce,palaiseau
13849,13850,"n/a, n/a, france",28.0,commerce,n/a
13916,13917,"reims, france, france",34.0,commerce,reims
13972,13973,"paris, , france",18.0,commerce,paris
13994,13995,"clermont-ferrand, auvergne, france",34.0,commerce,clermont-ferrand
14048,14049,"bordeaux, aquitaine, france",34.0,commerce,bordeaux
14078,14079,"paris, ile de france, france",41.0,commerce,paris
14083,14084,"rennes, bretagne, france",37.0,commerce,rennes
14150,14151,"lyon, rhône, france",53.0,commerce,lyon
14179,14180,"toulouse, haute-garonne, france",34.0,commerce,toulouse
