,brand,category,name,ingredients,details,image_url
4794,Lancôme,Foundation,Teint Idole Ultra Long Wear Foundation," -Eternalsoft Polymer: Increases comfort level with long-lasting wear.
-NAI Pigments: Specially-coated pigments maintain consistent pH level with skin- so color stays true all day.
-Perlite and Silica: Absorb oil effectively.

Water- Cyclopentasiloxane- Polypropysilsequioxane- Isododecane- Dimethicone- C30-45 Alkyldimethylsilyl- Polypropylsilsequioxane Silica- Glycerin- Peg-10 Dimethicone- Dimethicone/Polyglycerinej-3 Crosspolymer- Sodium Chloride- Nylon-12- Paraffin- Cyclomethione- Aluminum Hydroxide- Disodium Edta- Disodium Stearoyl Glutamate- Dipropylene Glycol- Disteardimonium Hectorite- Acrylates Copolymer- Phenoxyethanol Chlorphenesin- Ethylparaben- [+/- May Contain CI 77007 / Ultramarines- CI 77491- CI 77492- CI 77499 / Iron Oxides- CI 77891 / Titanium Dioxide].",What it is: An oil-free- long-wearing- liquid foundation that delivers buildable coverage and leaves a natural-looking- velvety-matte finish for up to 24 hours.Skin Type: Normal- Dry- Combination- and OilyCoverage: Full   Finish: Matte    Formulation: Liquid  Ingredient Callouts: Free of fragrance.  What Else You Need to Know: Teint Idole Ultra Long Wear—now available in 50 shades—is guaranteed to have your shade. In a study with 400 women- 98 percent of participants were able to find their perfect shade match.,https://www.sephora.com/productimages/sku/s2667970-main-zoom.jpg?imwidth=930
4796,Lancôme,Mascara,CILS BOOSTER XL Super-Enhancing Mascara Base,Water- Oryza Sativa Cera/Rice Bran Wax- Cera Carnauba/Carnauba Wax/Cire De Carnauba- Cera Alba/Beeswax/Cire D'abeille- Stearic Acid- Candelilla Cera/Candelilla Wax/Cire De Candelilla- Triethanolamine- Palmitic Acid- Acacia Senegal/Acacia Senegal Gum- Panthenol- Sodium- Polymethacrylate- Hydroxyethylcellulose- Propylparaben- Peg/Ppg-17/18 Dimethicone- Methylparaben- Simethicone- Rayon- Polyquaternium-10- Tocopheryl Acetate- Polycaprolactone.,"What it is: 
A lash-conditioning mascara primer to maximize mascara results—creating even longer-looking and more volumized lashes.
Highlighted Ingredients: - Vitamin E and Micro-Fibers: Condition lashes.What Else You Need to Know: With just one sweep- this iconic mascara primer evenly coats lashes to maximize the results of your favorite mascara. The conditioning formula- infused with micro-fibers and vitamin E- adds a look of extra length and thickness to lashes. At night- this can also be used as a lash mask to nurture lashes.Clinical Results: In a consumer test with a panel of 103 women using CILS BOOSTER and their regular mascara:- 93% saw more length- 92% saw more volume- 85% saw more curl
",https://www.sephora.com/productimages/sku/s2109965-main-zoom.jpg?imwidth=930
4797,Lancôme,Face Serums,Advanced Génifique Youth Activating Serum, -Bifidus Extract Water- Bifida Ferment Lysate- Glycerin- Alcohol Denat.- Dimethicone- Hydroxyethylpiperazine Ethane Sulfonic Acid- Ascorbyl Glucoside- Sodium Hyaluronate- Sodium Hydroxide- Sodium Benzoate- Phenoxyethanol- Adenosine- Faex Extract/Yeast Extract/Extrait De Levure- Peg-20 Methyl Glucose Sesquistearate- Peg-60 Hydrogenated Castor Oil- Salicyloyl Phytosphingosine- Ammonium Polyacryldimethyltauramide/Ammonium Polyacryloyldimethyl Taurate- Limonene- Xanthan Gum- Caprylyl Glycol- Disodium Edta- Octyldodecanol- Citronellol- Fragrance.,What it is:  An anti-aging serum that works to reveal smoother- more radiant skin in as few as seven days.Skin Type: Normal- Dry- Combination- and Oily Skincare Concerns: Fine Lines and Wrinkles- Loss of Firmness and Elasticity- and Dullness and Uneven TextureFormulation: Lightweight LiquidHighlighted Ingredients:- Bifidus Prebiotic 10%: Helps to strengthen and protect skin's moisture barrier. Ingredient Callouts: Free of sulfates SLS and SLES- parabens- and phthalates.What Else You Need to Know: This powerful anti-aging face serum works to improve the appearance of skin’s radiance- elasticity- and firmness in as few as seven days. With the inclusion of bifidus prebiotic- consumers agree- it is lightweight- fast-absorbing- and with new tested efficacy- helps to strengthen skin’s moisture barrier.Clinical Results: Based on self-assessments on 34 women in an 8-week study- after 1 week:- 85% of women felt skin appeared more radiantAfter 2 weeks:- 94% of women felt skin appeared smootherBased on self-assessments of 103 women in an 8-week study- after 4 weeks:- 89% of women agreed skin felt softerBased on self-assessments on 67 women in an 8-week study:- 90% of women agreed skin appeared healthy-looking,https://www.sephora.com/productimages/sku/s1528066-main-zoom.jpg?imwidth=930
4798,Lancôme,Mascara,Monsieur Big Mascara,"Water- Paraffin- Potassium Cetyl Phosphate- Copernicia Cerifera Cera / Carnauba Wax- Ethylene/Acrylic Acid Copolymer- Styrene/Acrylates/Ammonium Methacrylate Copolymer- Cera Alba / Beeswax- Synthetic Beeswax- Bis-Diglyceryl Polyacyladipate-2- Polybutene- Cetyl Alcohol- Steareth-20- Glyceryl Dibehenate- Steareth-2-C12-13 Pareth-23- C12-13 Pareth-3- Tribehenin- Acacia Senegal Gum- Glyceryl Behenate- Sodium Laureth Sulfate- Silica- Divinyldimethicone/Dimethicone Copolymer- Disodium Edta- Hydrogenated Jojoba Oil- Hydrogenated Palm Oil- Hydroxyethylcellulose- Caprylyl Glycol- Tetrasodium Edta- Ethylenediamine/Stearyl Dimer Dilinoleate Copolymer- Butylene Glycol- Bht- Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate- Potassium Sorbate- Sodium Dehydroacetate- Phenoxyethanol- [+/- May Contain- Ci 75470 / Carmine- Ci 77007 / Ultramarines-Ci 77491- Ci 77492- Ci 77499 / Iron Oxides]. 
",What it is: A long-lasting- voluminous mascara with a black-boosting polymer in its pigment for 12 times more volume and up to 24 hours of wear.What Else You Need to Know: This creamy- lengthening mascara with a gel-like texture does not require touch-ups. This voluminous mascara glides smoothly onto lashes for an even- buildable- and clump-free application.  Eyelashes appear extra intense due to black-boosting polymers and an intense grade of rich black pigments. Clinical Results: - 95% felt that it glides easily onto lashes- 95% found that it’s comfortable to wear all day long- 92% found the color of the mascara very dark/intense,https://www.sephora.com/productimages/sku/s1956176-main-zoom.jpg?imwidth=930
4799,Lancôme,Mascara,DÉFINICILS - High Definition Mascara,Water- Paraffin- Stearic Acid- Triethanolamine- Cera Alba/Beeswax/Cire Dabeille- Acacia Senegal/Acacia Senegal Gum- Palmitic Acid- Cera- Carnauba/Carnauba Wax/Cire De Carnauba- Hydroxyethylcellulose- Panthenol- Imidazolidinyl Urea- Sodium Polymethacrylate- Methylparaben- Propylparaben- Simethicone- Bht- Silica- Polyquaternium-10- [+/- May Contain: Ci 77499- Ci 77492- Ci 77491 / Iron Oxides- Ci 77007 /Ultramarines- Mica- Ci 77891/Titanium Dioxide- Ci 75470/Carmine- Ci 77510/Ferric Ferrocyanide].,"What it is: An iconic mascara that creates clean and defined- natural-looking lashes.What Else You Need to Know: This mascara helps define eyelashes using polymers formulated to lengthen. The fine comb-like brush has a ""hedgehog"" bristles pattern that enables it to dispense the perfect amount of product lash by lash for gradual and even application. ",https://www.sephora.com/productimages/sku/s137471-main-zoom.jpg?imwidth=930
4800,Lancôme,Makeup Removers,Bi-Facil Double-Action Eye Makeup Remover,Aqua/Water- Cyclopentasiloxane- Isohexadecane- Sodium Chloride- Poloxamer 184- Hexylene Glycol- Dipotassium Phosphate- Benzyl Alcohol- Potassium Phosphate- Quaternium-15- Benzalkonium Chloride- Parfum / Fragrance- Citronellol- Geraniol. ,What it is:  An award-winning eye makeup remover that is gentle enough for sensitive skin and contact-lens-wearers.Skin Type: Normal- Dry- Combination- and Oily Formulation: Liquid What Else You Need to Know:  Shake this bi-phase makeup remover before use to activate it. The lipid phase lifts eye makeup off- while the water phase uses unique emollients to effortlessly remove eye makeup residue. It leaves skin feeling perfectly cleansed. It is as fresh as water with a no-rinse formula.,https://www.sephora.com/productimages/sku/s534628-main-zoom.jpg?imwidth=930
4801,Lancôme,Lipstick,L'Absolu Lacquer,Octyldodecanol- Water-Trimethylsiloxyphenyl Dimethicone- Ethylcellulose- Sorbitan Stearate- Glycerin- Alcohol- Tin Oxide- Calcium Aluminum Borosilicate- Calcium Sodium Borosilicate- Sodium Lauryl Sulfate- Silica- Alumina- Aluminum Hydroxide- Magnesium Silicate- Sucrose Cocoate- Hydroxypropyl Guar- Synthetic Fluorphlogopite- Cetyl Alcohol- Phenoxyethanol- Geraniol- Hydroxycitronellal- Hexyl Cinnamal- Benzyl Alcohol- Fragrance. May Contain (+/-): Red 7 (Ci 15850)- Yellow 6 (Ci 15985)- Red 33 (Ci 17200)- Yellow 5 (Ci 19140)- Blue 1 (Ci 42090)- Red 28 (Ci 45410)- Carmine (Ci 75470)- Barium Sulfate (Ci 77120)- Iron Oxides (Ci 77491- Ci 77492- Ci 77499)- Titanium Dioxide (Ci 77891)- Mica.,What it is: A lip lacquer and long-wear stain that's buildable for high-impact color and shine.What it does: This brilliant lip lacquer combines the comfort and shine of a gloss- the pigment of a lipstick- and the lasting power of a stain. The high-shine finish and vivid color payoff are buildable from sheer to full coverage in as little as three coats. Lancôme’s innovative oil-in-water emulsion is lightweight and non-sticky- providing up to six hours of wear. Enriched with glycerin- this formula keeps lips feeling hydrated throughout the day.Beauty Tip: Play with your lip look by applying one- two- or three coats to build up the color and shine intensity of L'Absolu Lacquer. For a more defined look- use Le Lipstique lip liner (sold separately) to outline lips. L'Absolu Lacquer can also be layered over L'Absolu Rouge lipstick (sold separately) for a bold- deeply-pigmented look.,https://www.sephora.com/productimages/sku/s2067486-main-zoom.jpg?imwidth=930
4802,Lancôme,Foundation,DUAL FINISH – Multi-tasking Longwear Powder Foundation,Talc- Mineral Oil- Squalane- Zinc Laurate- Stearic Acid- Linalool- Geraniol- Glyceryl Stearate- Triethanolamine- Isoeugenol- Cholesterol- Coumarin- Aluminum Myristates/Palmitates- Cinnamyl Alcohol- Farnesol- Limonene- Lanolin- Hydroxycitronellal- Petrolatum- Citronellol- Benzyl Benzoate- Benzyl Salicylate- Fragrance- Alpha-Isomethyl Ionone- Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde- Hexyl Cinnamal- Butylparaben- May Contain: Mica- Titanium Dioxide- Iron Oxides.,What it is: A sheer to full-coverage- versatile- mattifying- and long-lasting powder and foundation in one.  Coverage: Full Finish: Matte Formulation: PowderSkin Type: Normal- Dry- Combination- and Oily What Else You Need to Know: This versatile face powder is buildable- long-lasting- and can be used wet or dry. It delivers sheer to full coverage and is perfect for on-the-go touch-ups- covering the look of flaws and imperfections- contouring- and/or as a setting powder. It does not cake or dry out skin and it is suitable for all skin types.,https://www.sephora.com/productimages/sku/s135558-main-zoom.jpg?imwidth=930
4804,Lancôme,Mascara,HYPNÔSE DRAMA Instant Full Body Volume Mascara,Isododecane- Cera Alba/Beeswax- Copernicia Cerifera Cera/Carnauba Wax- Disteardimonium Hectorite- Water- Allyl Stearate/Va Copolymer- Oryza Sativa Cera/Rice Bran Wax- Paraffin- Alcohol Denat.- Polyvinyl Laurate Vp/Eicosene Copolymer- Propylene Carbonate- Talc- Synthetic Beeswax- PEG-30 Glyceryl Stearate- Candelilla Cera/Candelilla Wax- Panthenol- Ethylenediamine/Stearyl Dimer Dilinoleate Copolymer- Methylparaben- Propylparaben- [+/- (May Contain): CI 77499 (Iron Oxides)].,What it is: An intense black mascara with a unique S-shaped brush for instant volume in a single stroke.What Else You Need to Know: This volumizing mascara creates lash drama in a single coat—without clumping or flaking.  The full-contact brush has an S-shaped curve to grasp and evenly coat lashes from root to tip for bold- buildable volume.,https://www.sephora.com/productimages/sku/s1197458-main-zoom.jpg?imwidth=930
4807,Lancôme,Moisturizers,UV Expert Aquagel Defense Primer & Moisturizer SPF 50, -Vitamin E: A potent antioxidant that helps improve skin. -Moringa Extract: A potent antioxidant that helps improve skin. -Edelweiss Extract: A potent antioxidant that helps improve skin.  Avobenzone 3%- Homosalate 10.7%- Octisalate 3.2%- Octocrylene 6%- Oxybenzone 3.9%.- Water- Dimethicone- Alcohol Denat.- Styrene/Acrylates Copolymer- Acrylates/Dimethicone Copolyme- Tocophero- Sodium Polyacrylate- Sodium Dodecylbenzenesulfonate- Sodium Benzoate- Phenoxyethanol- Peg-8 Laurate- Silica- Pentylene Glycol- Mentha Piperita (Peppermint) Extract- Propylene Glycol- Leontopodium Alpinum Flower/Leaf Extract- Caprylyl Glycol- Acrylates/C10-30 Alkyl Acrylate Crosspolyme- Sorbitol- Moringa Oleifera Seed Extract- Disodium Edta- Rosa Gallica Flower Extract- Disodium Phosphate- Citric Acid- Potassium Sorbate- Glycerin- Fragrance.,What it is:  A primer- moisturizer- and sunscreen that hydrates- primes- and protects skin.Skin Type: Normal- Dry- Combination- and Oily Skincare Concerns: DrynessFormulation: GelHighlighted Ingredients:- Vitamin E: A potent antioxidant that helps improve skin. - Moringa Extract: A potent antioxidant that helps improve skin. - Edelweiss Extract: A potent antioxidant that helps improve skin.  Ingredient Callouts: Free of sulfates SLS and SLES- formaldehydes- formaldehyde-releasing agents- phthalates- mineral oil- retinyl palmitate- coal tar- hydroquinone- triclosan- and triclocarban- and contains less than one percent of synthetic fragrances.  What Else You Need to Know:  Sun damage is known to cause first signs of aging. This all-in-one moisturizer with SPF 50 UVA/UVB protection gives lasting hydration and helps protect skin against sun damage. The cooling Aquagel texture transforms into a water-like gel that's easy to blend and is translucent on skin. This formula is not heavy- greasy or sticky- and it won't clog pores. It’s suitable for all skin types- including sensitive skin. ,https://www.sephora.com/productimages/sku/s2186773-main-zoom.jpg?imwidth=930
4810,Lancôme,Moisturizers,Rénergie Lift Multi-Action Night Cream,Aqua/Water/Eau- Glycerin- Prunus Armeniaca Kernel Oil/Apricot Kernel Oil- Caprylic/Capric Triglyceride- Pentaerythrityl Tetraethylhexanoate- Cetyl Alcohol- Zea Mays Starch/Corn Starch- Butyrospermum Parkii Butter/Shea Butter- Alcohol Denat.- Petrolatum- Pentylene Glycol- Glyceryl Stearate- Dimethicone- Peg-40 Stearate- Cera Alba/Beeswax/Cire Dabeille- Hydroxyethylpiperazine Ethane Sulfonic Acid- Ci 14700/Red 4- Ci 19140/Yellow 5- Saccharomyces/Xylinum/ Black Tea Ferment- Hydrolyzed Linseed Extract- Hydrolyzed Soy Protein- Hydrolyzed Hyaluronic Acid- Sodium Hydroxide- Sodium Benzoate- Phenoxyethanol- Adenosine- Stearyl Alcohol- Acetyl Tetrapeptide-9- Poloxamer 338- Dimethiconol- Limonene- Xanthan Gum- Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate- Benzyl Alcohol- Caprylyl Glycol- Alpha-Isomethyl Ionone- Sorbitan Tristearate- Myristyl Alcohol- Geraniol- Hexyl Cinnamal- Parfum/Fragrance. ,What it is:  A rich- comforting night cream that lifts and tightens the appearance of all facial zones for glowing skin.Skin Type: Dry Skincare Concerns: Fine Lines and Wrinkles- Loss of Firmness and Elasticity- and DrynessFormulation: CreamWhat Else You Need to Know: This rich- anti-aging night cream envelops facial skin for a refined and youthful appearance. Fine lines and wrinkles appear visibly reduced- while skin looks firmer and smoother.  Lancôme’s formula- which includes- shea butter and hyaluronic acid- works to support skin overnight.,https://www.sephora.com/productimages/sku/s2694511-main-zoom.jpg?imwidth=930
